clip_row,offset,line_id,speaker_name,scene,tier,score
52705,1265767874,msg_dropdown_16,aloy,aigenerated/aloy,S,100.0
40220,964528144,msg_discovery_raptor_1,aloy,aigenerated/aloy,S,100.0
22885,545299634,msg_swim_choke_end_11,aloy,aigenerated/aloy,S,100.0
63,1472796,msg_weapon_fired_low_ammo_1,aloy,aigenerated/aloy,S,100.0
54130,1300054534,msg_aloy_starts_combat_19,aloy,aigenerated/aloy,S,100.0
56602,1360288262,msg_entity_killed_generic_corrupted_robot_stealth_kill_1,aloy,aigenerated/aloy,S,100.0
51218,1228919516,msg_hr_electricity_stagger_12,aloy,aigenerated/aloy,S,100.0
34531,825917866,msg_settlement_must_dismount_5,aloy,aigenerated/aloy,S,100.0
50062,1200923218,msg_glinthawk_scavenge_reinforcements_10,aloy,aigenerated/aloy,S,100.0
3206,71298358,msg_hr_cryo_flinch_06,aloy,aigenerated/aloy,S,100.0
61135,1472668860,msg_hr_electricity_stagger_05,aloy,aigenerated/aloy,S,100.0
18695,444171176,msg_grab_small_21,aloy,aigenerated/aloy,S,100.0
25361,603712802,msg_hr_fire_stagger_heavy_07,aloy,aigenerated/aloy,S,100.0
24143,574826650,msg_focus_focusalertsignal_12,aloy,aigenerated/aloy,S,100.0
27030,645746828,msg_flavour_no_threats_wading_1,aloy,aigenerated/aloy,S,100.0
