line_id,core_path,line_index,category,scene,speaker_code,speaker_name,wem_path_en,language
sentences_sentence_d86c8bae-6aa0-4e37-b3c5-04ddd8d447f8,localized/sentences/ds_lines_terminal/lines_pr201/sentences,0,terminal,lines_pr201,localized/voices/vr1010_prp201a,The Engineer,localized/sentences/ds_lines_terminal/lines_pr201/sentences_sentence_d86c8bae-6aa0-4e37-b3c5-04ddd8d447f8.wem.english,english
sentences_sentence_67bf2cde-2800-4434-8b01-1e2f7f2f85cf,localized/sentences/ds_lines_terminal/lines_pr201/sentences,2,terminal,lines_pr201,localized/voices/vr1010_prp201a,The Engineer,localized/sentences/ds_lines_terminal/lines_pr201/sentences_sentence_67bf2cde-2800-4434-8b01-1e2f7f2f85cf.wem.english,english
sentences_sentence_2a59a5c1-533d-46ad-9601-65b3792f198a,localized/sentences/ds_lines_terminal/lines_pr201/sentences,3,terminal,lines_pr201,localized/voices/vr1010_prp201a,The Engineer,localized/sentences/ds_lines_terminal/lines_pr201/sentences_sentence_2a59a5c1-533d-46ad-9601-65b3792f198a.wem.english,english
sentences_sentence_09b73e69-f162-4b1b-b25c-a9a5ec5ac687,localized/sentences/ds_lines_common/lines_catalog/sentences,0,common,lines_catalog,localized/voices/vr0060_dhm,Die-Hardman,localized/sentences/ds_lines_common/lines_catalog/sentences_sentence_09b73e69-f162-4b1b-b25c-a9a5ec5ac687.wem.english,english
sentences_sentence_fb79bd9b-7d6a-400f-a182-80ffa6538164,localized/sentences/ds_lines_common/lines_catalog/sentences,1,common,lines_catalog,localized/voices/vr0060_dhm,Die-Hardman,localized/sentences/ds_lines_common/lines_catalog/sentences_sentence_fb79bd9b-7d6a-400f-a182-80ffa6538164.wem.english,english
sentences_sentence_b7a38ab8-0935-4f1d-8c7f-ff01f7dc2533,localized/sentences/ds_lines_common/lines_catalog/sentences,2,common,lines_catalog,localized/voices/vr0060_dhm,Die-Hardman,localized/sentences/ds_lines_common/lines_catalog/sentences_sentence_b7a38ab8-0935-4f1d-8c7f-ff01f7dc2533.wem.english,english
sentences_sentence_5668e9d2-deb3-4bea-bf2f-9b37a529d0b5,localized/sentences/ds_lines_mission/lines_m00030/sentences,0,mission,lines_m00030,localized/voices/vr0060_dhm,Die-Hardman,localized/sentences/ds_lines_mission/lines_m00030/sentences_sentence_5668e9d2-deb3-4bea-bf2f-9b37a529d0b5.wem.english,english
sentences_sentence_a93aecac-435a-4807-a8b8-fa173a208a21,localized/sentences/ds_lines_mission/lines_m00030/sentences,1,mission,lines_m00030,localized/voices/vr0060_dhm,Die-Hardman,localized/sentences/ds_lines_mission/lines_m00030/sentences_sentence_a93aecac-435a-4807-a8b8-fa173a208a21.wem.english,english
sentences_sentence_01701b42-5d76-469e-b92e-f4057d2e1589,localized/sentences/ds_lines_mission/lines_m00030/sentences,2,mission,lines_m00030,localized/voices/vr0060_dhm,Die-Hardman,localized/sentences/ds_lines_mission/lines_m00030/sentences_sentence_01701b42-5d76-469e-b92e-f4057d2e1589.wem.english,english
sentences_sentence_f7883af0-bc53-4c58-b988-93c5394f7f6f,localized/sentences/ds_lines_npc/lines_mule02/sentences,0,npc,lines_mule02,localized/voices/vr3030_mule02,Mule 02,localized/sentences/ds_lines_npc/lines_mule02/sentences_sentence_f7883af0-bc53-4c58-b988-93c5394f7f6f.wem.english,english
sentences_sentence_1c034549-9a3f-4a1c-8783-b7d9a79de695,localized/sentences/ds_lines_npc/lines_mule02/sentences,1,npc,lines_mule02,localized/voices/vr3030_mule02,Mule 02,localized/sentences/ds_lines_npc/lines_mule02/sentences_sentence_1c034549-9a3f-4a1c-8783-b7d9a79de695.wem.english,english
sentences_sentence_dad084ac-24fe-424c-b2a7-df4b5fcfc23a,localized/sentences/ds_lines_npc/lines_mule02/sentences,2,npc,lines_mule02,localized/voices/vr3030_mule02,Mule 02,localized/sentences/ds_lines_npc/lines_mule02/sentences_sentence_dad084ac-24fe-424c-b2a7-df4b5fcfc23a.wem.english,english
sentences_sentence_dcf75c44-3bbf-4bb6-941e-cebf554fd1cc,localized/sentences/ds_lines_sam/lines_1p5_dsp_sam/sentences,0,sam,lines_1p5_dsp_sam,localized/voices/vr0010_sam,Sam,localized/sentences/ds_lines_sam/lines_1p5_dsp_sam/sentences_sentence_dcf75c44-3bbf-4bb6-941e-cebf554fd1cc.wem.english,english
sentences_sentence_24db0150-7dc9-42ed-a2f8-6c8e8f608db9,localized/sentences/ds_lines_sam/lines_1p5_dsp_sam/sentences,1,sam,lines_1p5_dsp_sam,localized/voices/vr0010_sam,Sam,localized/sentences/ds_lines_sam/lines_1p5_dsp_sam/sentences_sentence_24db0150-7dc9-42ed-a2f8-6c8e8f608db9.wem.english,english
sentences_sentence_024e4355-fee3-43da-910a-9babbece035a,localized/sentences/ds_lines_sam/lines_1p5_dsp_sam/sentences,2,sam,lines_1p5_dsp_sam,localized/voices/vr0010_sam,Sam,localized/sentences/ds_lines_sam/lines_1p5_dsp_sam/sentences_sentence_024e4355-fee3-43da-910a-9babbece035a.wem.english,english
