episode,is_side,pos,section,scene,line_index,track_index,category,speaker,stream_path,line_id
0,0,6.0,0,sq_cs00_s00100,0,0,cutscene,(scene),ds/sounds/wwise_cinematics_sound_resource/cs00/sq_cs00_s00100/wav/english/windows/sq_cs00_s00100_voice_track.english.core.stream,sq_cs00_s00100#track0
0,0,13.0,1,lines_m00010,0,0,mission,Operator,localized/sentences/ds_lines_mission/lines_m00010/sentences_sentence_6a1e577b-54d0-4364-b9c9-8d68531a500e.wem.english.core.stream,sentences_sentence_6a1e577b-54d0-4364-b9c9-8d68531a500e
0,0,13.0,1,lines_m00010,1,0,mission,Operator,localized/sentences/ds_lines_mission/lines_m00010/sentences_sentence_16cc6fcd-4283-42c2-8c5e-8e969348df1f.wem.english.core.stream,sentences_sentence_16cc6fcd-4283-42c2-8c5e-8e969348df1f
0,0,13.0,1,lines_m00010,2,0,mission,Operator,localized/sentences/ds_lines_mission/lines_m00010/sentences_sentence_2220c80a-6fb3-4da0-bf0d-c58b180b5ea7.wem.english.core.stream,sentences_sentence_2220c80a-6fb3-4da0-bf0d-c58b180b5ea7
0,0,13.0,1,lines_m00010,3,0,mission,Sam,localized/sentences/ds_lines_mission/lines_m00010/sentences_sentence_b2b59e1a-a65f-48bd-bcaf-f041b5ae6694.wem.english.core.stream,sentences_sentence_b2b59e1a-a65f-48bd-bcaf-f041b5ae6694
0,0,13.0,1,lines_m00010,4,0,mission,Operator,localized/sentences/ds_lines_mission/lines_m00010/sentences_sentence_369416c4-e592-4fd2-8dd9-ca23c80d9a50.wem.english.core.stream,sentences_sentence_369416c4-e592-4fd2-8dd9-ca23c80d9a50
0,0,13.0,1,lines_m00010,5,0,mission,Sam,localized/sentences/ds_lines_mission/lines_m00010/sentences_sentence_20b37c3c-a71b-41bf-8bb9-b13e0e0963e4.wem.english.core.stream,sentences_sentence_20b37c3c-a71b-41bf-8bb9-b13e0e0963e4
0,0,13.0,1,lines_m00010,6,0,mission,Sam,localized/sentences/ds_lines_mission/lines_m00010/sentences_sentence_beb005fc-3bef-4cd3-85ce-bd546918a8d9.wem.english.core.stream,sentences_sentence_beb005fc-3bef-4cd3-85ce-bd546918a8d9
0,0,19.0,0,sq_cs00_s00220,0,0,cutscene,(scene),ds/sounds/wwise_cinematics_sound_resource/cs00/sq_cs00_s00220/wav/english/windows/sq_cs00_s00220_voice_track.english.core.stream,sq_cs00_s00220#track0
0,0,48.5,0,sq_cs00_s00300,0,0,cutscene,(scene),ds/sounds/wwise_cinematics_sound_resource/cs00/sq_cs00_s00300/wav/english/windows/sq_cs00_s00300_voice_track.english.core.stream,sq_cs00_s00300#track0
0,0,48.52,1,lines_m00020,0,0,mission,Deadman,localized/sentences/ds_lines_mission/lines_m00020/sentences_sentence_eb16dd67-f6e9-4220-a9cf-a2a3354ed5f1.wem.english.core.stream,sentences_sentence_eb16dd67-f6e9-4220-a9cf-a2a3354ed5f1
0,0,48.52,1,lines_m00020,1,0,mission,Deadman,localized/sentences/ds_lines_mission/lines_m00020/sentences_sentence_4053b483-0eb5-46fc-ab56-9d3149a334ed.wem.english.core.stream,sentences_sentence_4053b483-0eb5-46fc-ab56-9d3149a334ed
0,0,48.52,1,lines_m00020,2,0,mission,Deadman,localized/sentences/ds_lines_mission/lines_m00020/sentences_sentence_329546fa-74ae-45e1-a1ef-27dcaade7a1f.wem.english.core.stream,sentences_sentence_329546fa-74ae-45e1-a1ef-27dcaade7a1f
0,0,48.52,1,lines_m00020,3,0,mission,Deadman,localized/sentences/ds_lines_mission/lines_m00020/sentences_sentence_d54e6e68-b275-4831-aea9-8f604babc01f.wem.english.core.stream,sentences_sentence_d54e6e68-b275-4831-aea9-8f604babc01f
0,0,48.52,1,lines_m00020,4,0,mission,Deadman,localized/sentences/ds_lines_mission/lines_m00020/sentences_sentence_d3b221ec-f8fc-4372-9d9d-5af33c8750be.wem.english.core.stream,sentences_sentence_d3b221ec-f8fc-4372-9d9d-5af33c8750be
