stream_path,line_id,speech_ratio,keep_spans,dropped
ds/sounds/wwise_cinematics_sound_resource/cs04/sq_cs04_s01650/wav/english/windows/sq_cs04_s01650_voice_track.english.core.stream,sq_cs04_s01650#track0,0.4042,6.077:26.385;39.843:42.012,0
ds/sounds/wwise_cinematics_sound_resource/cs77/sq_cs77_s00209/wav/english/windows/sq_cs77_s00209_voice_track.english.core.stream,sq_cs77_s00209#track0,0.4466,2.499:13.594,0
ds/sounds/wwise_cinematics_sound_resource/cs53/sq_cs53_s00310/wav/english/windows/sq_cs53_s00310_voice_track.english.core.stream,sq_cs53_s00310#track0,0.0631,23.424:27.111,0
ds/sounds/wwise_cinematics_sound_resource/cs10/sq_cs10_s00200/wav/english/windows/sq_cs10_s00200_voice_track.english.core.stream,sq_cs10_s00200#track0,0.4678,10.768:29.811,0
ds/sounds/wwise_cinematics_sound_resource/cs10/sq_cs10_s00350/wav/english/windows/sq_cs10_s00350_voice_track.english.core.stream,sq_cs10_s00350#track0,0.5736,0.0:29.153;31.457:41.202,0
ds/sounds/wwise_cinematics_sound_resource/cs06/sq_cs06_s00200/wav/english/windows/sq_cs06_s00200_voice_track.english.core.stream,sq_cs06_s00200#track0,0.316,10.143:28.107,0
ds/sounds/wwise_cinematics_sound_resource/cs08/sq_cs08_s00500/wav/english/windows/sq_cs08_s00500_voice_track.english.core.stream,sq_cs08_s00500#track0,0.0,,1
ds/sounds/wwise_cinematics_sound_resource/cs00/sq_cs00_s00300/wav/english/windows/sq_cs00_s00300_voice_track.english.core.stream,sq_cs00_s00300#track0,0.5735,6.195:10.084;53.192:73.146;83.162:145.236;155.336:183.306;184.125:207.91,0
ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s01500/wav/english/windows/sq_cs02_s01500_voice_track.english.core.stream,sq_cs02_s01500#track0,0.8167,0.035:23.702,0
ds/sounds/wwise_cinematics_sound_resource/cs80/sq_cs80_s00100/c006/wav/english/windows/sq_cs80_s00100_c006_voice_track.english.core.stream,sq_cs80_s00100_c006#track0,0.2527,28.233:46.483,0
ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s00100/wav/english/windows/sq_cs02_s00100_voice_track.english.core.stream,sq_cs02_s00100#track0,0.6226,6.397:32.899;34.089:40.442,0
ds/sounds/wwise_cinematics_sound_resource/cs09/sq_cs09_s00460/wav/english/windows/sq_cs09_s00460_voice_track.english.core.stream,sq_cs09_s00460#track0,0.4909,12.877:30.115,0
