scene,status,track_index,voice_track_stream
sq_cs04_s01650,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs04/sq_cs04_s01650/wav/english/windows/sq_cs04_s01650_voice_track.english.core.stream
sq_cs77_s00209,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs77/sq_cs77_s00209/wav/english/windows/sq_cs77_s00209_voice_track.english.core.stream
sq_cs53_s00310,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs53/sq_cs53_s00310/wav/english/windows/sq_cs53_s00310_voice_track.english.core.stream
sq_cs10_s00200,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs10/sq_cs10_s00200/wav/english/windows/sq_cs10_s00200_voice_track.english.core.stream
sq_cs10_s00350,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs10/sq_cs10_s00350/wav/english/windows/sq_cs10_s00350_voice_track.english.core.stream
sq_cs06_s00200,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs06/sq_cs06_s00200/wav/english/windows/sq_cs06_s00200_voice_track.english.core.stream
sq_cs08_s00500,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs08/sq_cs08_s00500/wav/english/windows/sq_cs08_s00500_voice_track.english.core.stream
sq_cs00_s00300,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs00/sq_cs00_s00300/wav/english/windows/sq_cs00_s00300_voice_track.english.core.stream
sq_cs02_s01500,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s01500/wav/english/windows/sq_cs02_s01500_voice_track.english.core.stream
sq_cs80_s00100_c006,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs80/sq_cs80_s00100/c006/wav/english/windows/sq_cs80_s00100_c006_voice_track.english.core.stream
sq_cs11_s00100,no_sound_core,,
sq_cs02_s00100,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s00100/wav/english/windows/sq_cs02_s00100_voice_track.english.core.stream
sq_cs09_s00460,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs09/sq_cs09_s00460/wav/english/windows/sq_cs09_s00460_voice_track.english.core.stream
sq_cs07_s00600,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs07/sq_cs07_s00600/wav/english/windows/sq_cs07_s00600_voice_track.english.core.stream
sq_cs71_s00600_c206,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00600/c206/wav/english/windows/sq_cs71_s00600_c206_voice_track.english.core.stream
sq_cs09_s00500,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs09/sq_cs09_s00500/wav/english/windows/sq_cs09_s00500_voice_track.english.core.stream
sq_cs01_s00300,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs01/sq_cs01_s00300/wav/english/windows/sq_cs01_s00300_voice_track.english.core.stream
sq_cs03_s01100,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs03/sq_cs03_s01100/wav/english/windows/sq_cs03_s01100_voice_track.english.core.stream
sq_cs02_s00400,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s00400/wav/english/windows/sq_cs02_s00400_voice_track.english.core.stream
sq_cs80_s00100_c002,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs80/sq_cs80_s00100/c002/wav/english/windows/sq_cs80_s00100_c002_voice_track.english.core.stream
sq_cs07_s00700,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs07/sq_cs07_s00700/wav/english/windows/sq_cs07_s00700_voice_track.english.core.stream
sq_cs02_s01300,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s01300/wav/english/windows/sq_cs02_s01300_voice_track.english.core.stream
sq_cs03_s00150,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs03/sq_cs03_s00150/wav/english/windows/sq_cs03_s00150_voice_track.english.core.stream
sq_cs02_s00320,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s00320/wav/english/windows/sq_cs02_s00320_voice_track.english.core.stream
sq_cs08_s01300,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs08/sq_cs08_s01300/wav/english/windows/sq_cs08_s01300_voice_track.english.core.stream
sq_cs04_s01600,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs04/sq_cs04_s01600/wav/english/windows/sq_cs04_s01600_voice_track.english.core.stream
sq_cs02_s00300,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s00300/wav/english/windows/sq_cs02_s00300_voice_track.english.core.stream
sq_cs05_s00050,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs05/sq_cs05_s00050/wav/english/windows/sq_cs05_s00050_voice_track.english.core.stream
sq_cs71_s00260_c109,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00260/c109/wav/english/windows/sq_cs71_s00260_c109_voice_track.english.core.stream
sq_cs07_s00350,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs07/sq_cs07_s00350/wav/english/windows/sq_cs07_s00350_voice_track.english.core.stream
sq_cs02_s03300,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s03300/wav/english/windows/sq_cs02_s03300_voice_track.english.core.stream
sq_cs09_s00430,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs09/sq_cs09_s00430/wav/english/windows/sq_cs09_s00430_voice_aml_track.english.core.stream
sq_cs02_s00850,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s00850/wav/english/windows/sq_cs02_s00850_voice_track.english.core.stream
sq_cs71_s00260_c202,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00260/c202/wav/english/windows/sq_cs71_s00260_c202_voice_track.english.core.stream
sq_cs50_s01010,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs50/sq_cs50_s01010/wav/english/windows/sq_cs50_s01010_voice_dhm_track.english.core.stream
